name,freereturns,items_sold,item_status,shipping_price,item_price
Donner HUSH-X Electric Guitar With Gig Bag Headphones Strap Tuner H-S Pickups,True,,Open Box,0,26999
New ListingSquier 40th Anniv Vintage Edition Stratocaster Electric Guitar Satin Seafoam,False,,Pre-Owned,0,37000
New Arrival Handmade Guitar Explorer Model Electric Guitar Checkerboard Finish,False,,Brand New,0,47925
New ListingEpiphone Electric Guitar Floyd Rose Hard Safe Packing!,False,,Pre-Owned,0,46862
LP Electric Guitar Mahogany Body Flame Maple Top Herritage Sunburst,False,,Brand New,0,26800
Custom Dan ArmStrong Crystal Electric Guitar Lucite Acrylic Body Rosewood Guard,False,53 sold,Brand New,3000,29900
Custom Electric Guitar Cherry Sunburst Color Flame Top Mahogany Body Ace Frehley,False,,Brand New,0,26800
H heavy relics Yellow aged Electric Guitar chrome hardware bone nut ship quickly,False,,Brand New,0,26495
Electric guitar Sunburst relic gold hardware SS frets black pickguard,True,,Brand New,0,29500
Telecaster Electric Guitar Maple Fingerboard Gold hardware 6 strings in stock,False,,Brand New,2000,21150
Glarry GST Burning Fire Basswood Electric Guitar Kit School Band W/Bag,False,,Brand New,0,6299
